gun_index,incident_id,n_guns_involved,gun_stolen,gun_type
750,109455,1,Unknown,Unknown
751,109689,1,Unknown,Unknown
752,705934,1,Unknown,Unknown
753,109291,1,Not-stolen,9mm
754,111739,1,Unknown,Unknown
755,109142,1,Unknown,Unknown
756,110407,1,Unknown,Unknown
757,110048,1,Unknown,Unknown
758,109947,1,Unknown,Unknown
759,109802,1,Unknown,9mm
760,109769,1,Unknown,Unknown
761,110425,1,Unknown,Unknown
762,109412,1,Unknown,Unknown
763,109690,1,Unknown,Unknown
764,109702,1,Unknown,Unknown
765,110098,1,Unknown,Unknown
766,118337,1,Unknown,Unknown
767,353797,1,Unknown,Unknown
768,110888,1,Unknown,Unknown
769,118616,1,Unknown,Shotgun
770,110090,1,Unknown,Unknown
771,110024,1,Unknown,Unknown
772,261137,1,Stolen,9mm
773,111742,1,Unknown,Unknown
774,111710,1,Unknown,9mm
775,110250,1,Unknown,Unknown
776,111751,1,Unknown,Unknown
777,109849,2,Unknown,Unknown
778,109849,2,Unknown,Unknown
779,109959,1,Unknown,Unknown
780,109812,1,Unknown,Unknown
781,110054,1,Unknown,Unknown
782,109808,1,Unknown,Unknown
783,120634,1,Unknown,22 LR
784,449798,1,Unknown,32 Auto
785,218089,1,Unknown,Unknown
786,367965,2,Unknown,Rifle
787,367965,2,Unknown,Handgun
788,110010,1,Unknown,Unknown
789,110422,1,Unknown,Unknown
790,110316,1,Unknown,Unknown
791,110228,1,Unknown,Unknown
792,282195,1,Unknown,Other
793,111752,1,Unknown,Unknown
794,111749,1,Unknown,Unknown
795,110100,1,Unknown,Unknown
796,110481,1,Unknown,Unknown
797,110341,1,Unknown,Unknown
798,110332,1,Unknown,Unknown
799,111486,1,Unknown,Unknown
800,111756,1,Unknown,Unknown
801,111760,1,Unknown,Unknown
802,392819,2,Stolen,45 Auto
803,392819,2,Stolen,45 Auto
804,110584,1,Unknown,Unknown
805,110565,1,Unknown,Unknown
806,712063,2,Unknown,Unknown
807,712063,2,Unknown,Unknown
808,112705,1,Unknown,Unknown
